,OppTeam,Teams.name,XGI_Weighted,XGC_Weighted,Minutes
0,1.0,Ars,0.6463352071962576,1.27684940892,355.0
1,2.0,Villa,0.3788891546031688,1.5735527821,329.0833333333333
2,3.0,Bour,0.5810378507667354,2.115446599275,359.45454545454544
3,4.0,Bfrd,0.7638609709466359,2.8102845260000002,329.25
4,5.0,Bri,0.5347883960033378,1.2643063474999998,359.27272727272725
5,6.0,Chel,0.8875681160355349,1.91828042794,358.72727272727275
6,7.0,CryP,0.4362873455133746,1.9982768825,329.0
7,8.0,Ev,0.37178394083466926,1.8698696303,329.0
8,9.0,Ful,0.6089371834652937,1.25697831257,329.1666666666667
9,10.0,Ips,0.2235294117647059,3.4935,328.5833333333333
10,11.0,Leic,0.3181372549019608,2.80925,328.75
11,12.0,LPool,1.2838162025879456,0.82481362112,358.45454545454544
12,13.0,ManC,1.128031199765126,1.8709407558,358.8181818181818
13,14.0,ManU,0.5633019759185928,2.47174261679,328.75
14,15.0,Newc,0.80046689526338,2.095027302095,359.09090909090907
15,16.0,For't,0.4963757584874769,2.51610155578,358.54545454545456
16,17.0,Soton,0.2962566844919786,5.372,358.45454545454544
17,18.0,Spurs,0.46471440823068205,2.37060471368,329.5
18,19.0,WHam,0.38313703275578614,2.2273906210399996,328.0
19,20.0,Wolv,0.45722944842163055,3.4398285467400003,356.6363636363636
